"u","j378","j395","j410","j430","g","j515","r","j660","i","j861","z","GCs"
19.404,20.001,19.872,19.476,19.144,19.328,19.175,18.894,18.911,18.934,18.846,18.862,"0"
20.501,22.934,21.757,21.036,20.643,19.523,19.254,18.241,17.797,17.041,16.638,16.511,"0"
20.183,19.454,19.284,18.963,19.026,18.579,18.496,18.162,18.058,17.937,17.914,17.813,"0"
21.547,22.894,22.716,20.877,21.072,20.066,20.242,19.082,18.855,18.612,18.566,18.462,"0"
16.51,16.235,16.148,15.542,15.485,15.095,14.933,14.604,14.542,14.421,14.411,14.383,"0"
21.218,24.871,21.913,22.373,21.142,20.924,20.893,20.134,20.025,19.672,19.573,19.349,"0"
20.31,21.674,20.778,19.952,20,18.753,18.526,17.458,17.063,16.264,15.867,15.739,"0"
20.193,20.498,20.758,20.159,20.018,19.873,19.558,19.221,19.114,19.009,18.869,18.886,"0"
20.617,20.98,20.952,20.456,19.769,18.61,18.53,17.322,17.046,16.675,16.452,16.383,"0"
18.277,18.015,17.883,17.096,16.974,16.44,16.253,15.773,15.689,15.526,15.47,15.44,"0"
21.112,21.369,20.252,19.773,19.491,18.464,18.173,17.114,16.658,15.711,15.31,15.165,"0"
20.343,20.916,20.257,19.642,19.52,18.822,18.708,17.985,17.917,17.662,17.571,17.503,"0"
21.458,22.116,21.409,20.552,19.831,19.481,19.42,18.409,18.268,17.987,17.862,17.796,"0"
20.919,21.256,23.317,21,20.966,19.933,19.532,18.536,18.133,17.388,17.034,16.909,"0"
17.175,16.984,16.824,16.162,16.085,15.663,15.505,15.159,15.104,14.993,14.971,14.949,"0"
18.511,18.466,18.12,17.14,16.903,16.241,16.096,15.302,15.187,14.983,14.873,14.838,"0"
19.419,20.268,19.709,18.673,18.406,17.593,17.513,16.446,16.288,16.019,15.882,15.809,"0"
19.233,19.845,19.298,18.371,18.16,17.473,17.368,16.618,16.492,16.314,16.22,16.171,"0"
20.031,19.472,19.173,18.124,17.768,17.055,16.937,16.042,15.889,15.621,15.471,15.408,"0"
14.019,13.912,13.687,12.951,12.859,12.457,12.241,12.156,11.826,11.889,11.735,11.828,"0"
14.913,14.876,14.61,13.668,13.488,12.884,12.758,12.368,12.003,11.978,11.779,11.884,"0"
19.112,19.549,18.765,19.261,19.506,19.087,19.041,18.846,18.9,18.808,18.699,18.503,"0"
20.09,19.757,19.455,18.61,18.34,17.62,17.456,16.713,16.569,16.401,16.3,16.249,"0"
14.074,13.991,13.734,13.012,12.907,12.527,12.267,12.202,11.853,11.899,11.737,11.885,"0"
19.263,19.096,18.662,17.852,17.767,17.121,16.876,16.264,16.158,15.96,15.86,15.791,"0"
21.141,23.095,24.501,21.488,20.511,20.2,20.127,19.087,18.762,18.139,17.74,17.615,"0"
18.651,18.702,18.374,17.311,17.038,16.291,16.168,15.3,15.166,14.956,14.844,14.794,"0"
19.671,20.03,19.996,20.068,19.775,19.85,19.816,19.965,20.048,20.234,20.621,20.535,"0"
20.391,20.275,20.398,19.594,19.469,19.098,18.88,18.554,18.489,18.347,18.258,18.221,"0"
18.923,18.472,18.417,17.653,17.598,17.127,16.953,16.525,16.442,16.315,16.265,16.259,"0"
19.047,19.158,18.984,18.163,18.033,17.496,17.334,16.825,16.745,16.578,16.54,16.5,"0"
21.448,20.881,21.18,20.437,20.349,20.168,20.174,19.771,19.759,19.548,19.607,19.593,"0"
20.282,20.386,19.803,18.991,18.634,17.876,17.822,16.799,16.639,16.382,16.26,16.192,"0"
20.097,20.304,20.182,19.925,19.706,19.637,19.761,19.602,19.388,19.336,19.222,19.315,"0"
22.63,21.762,21.039,21.319,21.12,21.022,21.04,20.177,20.17,19.574,19.777,19.452,"0"
22.612,22.298,21.652,21.732,21.099,20.495,20.293,19.271,19.147,18.616,18.532,18.418,"0"
20.058,19.286,18.732,17.797,17.463,16.546,16.46,15.348,15.152,14.881,14.738,14.67,"0"
19.908,21.229,20.704,20.08,19.607,18.909,18.849,17.816,17.666,17.404,17.292,17.221,"0"
19.537,19.615,19.41,18.761,18.619,18.245,18.069,17.63,17.541,17.329,17.285,17.261,"0"
20.192,21.545,21.108,20.493,20.027,19.974,19.772,19.353,19.427,19.176,19.124,19.307,"0"
20.727,19.991,20.162,18.999,18.749,18.068,17.953,17.231,17.105,16.922,16.855,16.79,"0"
15.969,15.658,15.534,15.061,15,14.73,14.575,14.319,14.309,14.213,14.214,14.19,"0"
20.526,20.781,20.677,19.671,19.021,18.268,18.212,17.022,16.778,16.494,16.313,16.25,"0"
18.787,18.8,18.661,18.191,18.155,17.799,17.649,17.357,17.305,17.181,17.148,17.115,"0"
22.194,24.677,23.155,22.696,21.759,21.822,21.882,20.969,20.862,20.14,19.47,19.455,"0"
21.33,20.998,20.958,20.433,21.28,20.835,20.733,20.76,21.398,20.232,20.151,19.797,"0"
19.182,18.887,18.664,17.478,17.252,16.41,16.328,15.309,15.139,14.883,14.741,14.675,"0"
17.938,17.618,17.52,17.086,17.021,16.678,16.524,16.224,16.181,16.042,16.024,15.997,"0"
16.109,15.911,15.591,14.627,14.35,13.636,13.4,12.78,12.612,12.399,12.27,12.235,"0"
23.918,23.312,22.395,22.666,21.194,21.352,21.014,21.121,20.843,21.087,21.025,21.467,"0"
16.21,15.962,15.868,15.321,15.283,14.908,14.753,14.455,14.407,14.298,14.292,14.268,"0"
21.654,21.59,21.18,20.957,20.384,20.025,20.064,19.227,19.237,18.983,19.014,18.75,"0"
21.353,19.772,20.209,18.707,18.446,17.631,17.568,16.558,16.402,16.146,16.025,15.955,"0"
20.845,21.434,21.008,20.797,20.938,20.844,21.254,20.605,20.267,20.411,20.362,20.599,"0"
20.826,19.658,19.569,19.019,19.197,18.774,18.582,18.3,18.267,18.187,18.18,18.206,"0"
21.111,21.067,21.55,20.549,20.116,19.305,19.24,18.256,18.1,17.906,17.682,17.639,"0"
21.539,20.765,20.878,20.03,19.68,18.902,18.881,17.881,17.72,17.438,17.308,17.264,"0"
21.32,21.909,21.04,21.38,21.005,21.276,20.909,20.146,19.528,18.42,17.824,17.636,"0"
18.918,18.553,18.359,17.987,17.941,17.708,17.516,17.288,17.259,17.142,17.14,17.108,"0"
18.088,17.92,17.738,17.138,17.051,16.585,16.411,15.992,15.938,15.807,15.779,15.747,"0"
21.731,20.601,20.99,20.082,20.4,19.88,19.67,19.533,19.519,19.265,19.421,19.219,"0"
20.601,21.884,20.98,21.187,20.82,19.573,19.267,18.346,17.967,16.985,16.541,16.388,"0"
19.122,19.099,18.843,17.881,17.858,17.253,17.121,16.596,16.486,16.36,16.326,16.279,"0"
20.194,20.168,19.29,18.69,18.419,17.791,17.614,16.922,16.796,16.642,16.554,16.523,"0"
20.272,21.054,20.335,20.212,20.868,19.799,19.659,19.511,19.61,19.479,19.667,19.421,"0"
22.842,20.553,20.306,19.458,19.306,18.516,18.319,17.583,17.477,17.282,17.198,17.111,"0"
22.003,21.688,21.503,22.816,21.212,20.684,20.826,20.402,20.708,20.786,20.458,20.265,"0"
20.844,21.722,22.401,23.015,22.11,21.947,21.467,20.84,20.146,19.373,18.813,18.751,"0"
18.296,18.245,18.054,17.101,16.862,16.192,16.107,15.299,15.175,14.942,14.852,14.802,"0"
18.734,18.663,18.662,18.016,18.021,17.562,17.388,16.983,16.93,16.796,16.762,16.739,"0"
18.894,19.099,19.045,18.677,18.66,18.376,18.27,17.958,17.946,17.824,17.762,17.735,"1"
20.315,20.705,22.202,21.491,21.021,21.819,22.215,20.795,20.901,20.43,20.586,20.18,"0"
18.858,18.745,18.497,17.47,17.179,16.21,16.155,14.985,14.744,14.446,14.278,14.217,"0"
18.641,18.739,18.654,18.075,17.959,17.66,17.464,17.174,17.127,17.001,16.963,16.959,"0"
13.918,13.667,13.576,13.113,13.071,12.789,12.61,12.558,12.355,12.297,12.27,12.292,"0"
21.663,22.03,21.145,20.484,21.257,20.785,20.607,20.356,20.258,20.155,20.081,20.15,"0"
20.729,22.264,22.333,21.201,21.208,21.805,21.045,20.162,20.149,19.795,19.443,19.453,"0"
19.789,19.195,19.042,18.471,18.467,18.011,17.873,17.456,17.35,17.223,17.164,17.171,"0"
19.317,19.017,18.819,17.988,17.914,17.28,17.118,16.562,16.452,16.295,16.227,16.191,"0"
20.375,20.303,20.518,19.265,19.143,17.996,17.789,16.622,16.247,15.669,15.331,15.232,"0"
20.74,22.551,21.603,23.333,21.393,21.514,21.737,21.157,20.502,20.585,19.914,20.222,"0"
20.264,19.725,19.477,19.223,19.13,18.812,18.703,18.422,18.413,18.343,18.273,18.291,"0"
21.756,22.524,20.834,20.526,20.398,19.504,19.34,18.099,17.758,17.298,17.006,16.913,"0"
15.009,14.859,14.736,14.089,14.032,13.612,13.451,13.126,13.073,12.966,12.96,12.932,"0"
20.236,23.547,20.251,19.432,19.179,18.449,18.49,17.387,17.232,16.926,16.756,16.683,"0"
19.444,19.751,19.425,18.505,18.405,17.653,17.484,16.801,16.679,16.484,16.394,16.332,"0"
20.545,20.19,20.161,19.591,19.722,19.335,19.158,18.941,18.824,18.806,18.971,18.847,"0"
20.66,21.113,20.374,19.1,18.856,17.904,17.81,16.667,16.472,16.137,15.937,15.868,"0"
19.954,19.304,19.174,18.376,18.348,17.694,17.541,17.016,16.926,16.754,16.707,16.645,"0"
20.359,20.897,20.161,19.972,19.504,19.333,19.117,18.923,18.768,18.64,18.668,18.552,"0"
17.431,17.224,17.031,16.469,16.398,15.977,15.821,15.458,15.399,15.27,15.252,15.23,"0"
17.011,16.773,16.703,16.086,16.033,15.661,15.51,15.203,15.153,15.052,15.056,15.03,"0"
22.598,20.289,20.866,19.869,20.463,19.89,19.925,19.628,19.562,19.514,19.534,19.535,"0"
18.777,18.759,18.399,17.647,17.501,16.973,16.769,16.33,16.267,16.127,16.1,16.08,"0"
19.763,19.475,19.694,19.571,19.341,19.452,19.555,19.735,19.689,19.819,20.073,19.983,"0"
18.875,18.915,18.599,18.07,18.047,17.54,17.388,16.937,16.868,16.725,16.701,16.646,"0"
20.194,21.446,20.342,19.831,19.839,19.715,19.358,19.218,19.307,19.12,19.002,19.091,"0"
23.336,21.292,21.334,22.224,21.868,21.265,21.782,20.799,21.365,20.624,20.452,21.382,"0"
19.708,19.379,18.957,18.067,17.992,17.364,17.192,16.615,16.523,16.372,16.287,16.253,"0"
18.973,18.752,18.676,18.141,18.155,17.777,17.634,17.327,17.281,17.158,17.124,17.109,"0"
16.234,16.115,15.912,15.168,15.071,14.533,14.342,13.873,13.805,13.651,13.605,13.562,"0"
17.65,17.672,17.469,16.825,16.753,16.312,16.125,15.744,15.68,15.573,15.547,15.517,"0"
18.615,18.329,18.165,17.429,17.418,16.882,16.7,16.272,16.194,16.051,15.995,15.974,"0"
21.364,20.694,19.7,18.756,18.565,17.797,17.702,16.851,16.708,16.515,16.422,16.382,"0"
20.322,20.961,20.834,20.465,20.446,20.06,19.752,19.51,19.648,19.329,19.183,19.38,"0"
21.025,21.176,20.667,20.603,20.843,20.023,19.912,19.4,19.372,19.201,18.987,19.07,"0"
20.779,21.256,21.088,21.526,20.638,20.289,20.399,19.807,19.87,19.602,19.649,19.582,"0"
20.344,21.11,20.796,20.606,21.142,20.399,20.005,19.863,20.286,19.929,19.792,19.681,"0"
18.471,18.294,18.207,17.636,17.53,17.229,17.091,16.794,16.727,16.633,16.613,16.61,"0"
21.262,20.759,20.756,20.117,19.882,19.536,19.408,19.014,18.931,18.778,18.752,18.707,"0"
20.625,21.184,20.875,20.492,20.534,20.194,20.202,19.582,19.459,19.169,19.178,19.188,"1"
21.354,20.287,20.115,20.156,20.224,20.024,20.062,19.778,19.829,19.791,19.901,19.782,"0"
19.168,19.022,18.995,18.426,18.458,18.092,17.995,17.699,17.699,17.557,17.59,17.562,"0"
19.513,19.443,19.062,18.216,18.054,17.447,17.319,16.699,16.574,16.397,16.328,16.246,"0"
20.267,20.203,20.186,19.591,19.282,18.748,18.555,18.092,18.004,17.911,17.875,17.818,"0"
17.807,17.42,17.074,16.224,15.958,14.916,14.786,13.604,13.296,12.833,12.569,12.49,"0"
20.798,20.769,20.463,19.735,19.295,18.305,18.098,16.988,16.655,16.214,15.921,15.794,"0"
19.101,19.407,19.071,18.084,17.824,17.086,16.933,16.112,15.971,15.725,15.598,15.545,"0"
21.205,21.445,21.131,19.97,19.816,18.676,18.401,17.263,16.824,16.111,15.721,15.603,"0"
21.498,22.522,22.404,21.578,21.957,22.012,22.474,21.198,20.467,19.879,19.49,19.375,"0"
22.047,22.561,22.67,22.422,21.019,21.168,21.564,19.898,19.617,18.577,18.101,17.998,"0"
19.334,19.746,19.263,18.201,17.836,16.907,16.8,15.629,15.394,15.062,14.865,14.789,"0"
18.215,18.186,17.984,17.295,17.245,16.715,16.526,16.07,16,15.857,15.819,15.78,"0"
20.264,21.144,20.344,19.856,19.637,19.21,19.102,18.415,18.276,18.156,18.028,17.966,"0"
20.093,19.967,19.729,18.712,18.532,17.914,17.759,17.021,16.889,16.699,16.549,16.518,"0"
17.765,17.634,17.423,16.771,16.683,16.199,16.022,15.61,15.534,15.398,15.377,15.336,"0"
21.219,21.133,21.118,19.581,19.13,18.375,18.29,17.224,17.026,16.762,16.645,16.547,"0"
21.841,21.418,21.901,21.956,20.845,20.902,20.537,20.67,20.182,19.991,19.814,19.959,"0"
21.909,22.102,24.075,22.299,23.017,21.158,21.067,20.69,20.67,20.546,20.412,20.321,"0"
17.854,17.594,17.549,16.853,16.85,16.375,16.202,15.824,15.766,15.632,15.613,15.582,"0"
20.021,20.015,19.738,19.051,18.928,18.215,18.093,17.427,17.326,17.127,17.021,16.97,"0"
17.36,17.275,17.076,16.314,16.187,15.697,15.517,15.033,14.954,14.804,14.774,14.739,"0"
19.73,19.104,19.19,18.333,18.298,17.715,17.54,17.026,16.94,16.744,16.67,16.611,"0"
20.101,19.648,19.496,19.338,19.623,19.592,19.56,19.657,19.604,19.781,20.112,19.883,"0"
21.78,19.722,19.793,19.099,19.081,18.627,18.402,18.057,17.973,17.825,17.755,17.757,"0"
21.65,21.497,21.372,21.655,21.624,21.018,20.868,20.801,20.747,20.471,20.698,20.396,"0"
24.079,21.156,20.724,20.974,20.275,18.793,18.586,17.381,16.862,16.075,15.62,15.477,"0"
20.226,19.46,19.916,20.612,19.907,19.789,20.04,19.736,19.618,19.476,19.34,19.362,"0"
19.484,19.412,19.492,18.946,18.916,18.419,18.245,17.899,17.843,17.654,17.662,17.628,"0"
17.476,17.284,17.14,16.492,16.405,15.936,15.779,15.38,15.31,15.191,15.172,15.133,"0"
16.504,16.341,16.186,15.492,15.434,14.965,14.783,14.385,14.327,14.198,14.174,14.137,"0"
19.28,19.204,19.339,18.55,18.483,18.121,17.952,17.597,17.54,17.442,17.428,17.387,"0"
20.464,19.661,19.8,19.148,19.106,18.77,18.544,18.267,18.166,18.032,18.064,17.927,"0"
21.222,21.787,23.394,22.398,21.272,20.118,19.621,18.677,18.234,17.363,16.9,16.767,"0"
20.723,21.223,20.392,20.075,20.155,19.805,19.611,19.459,19.475,19.272,19.208,19.149,"0"
20.802,20.297,20.988,20.39,20.184,20.014,19.574,19.486,19.275,19.139,19.022,19.114,"0"
16.553,15.758,15.289,15.065,15.094,15.088,15.07,15.168,15.303,15.329,15.429,15.389,"0"
