"u","j378","j395","j410","j430","g","j515","r","j660","i","j861","z","GCs"
15.752,15.431,15.297,14.875,14.821,14.568,14.421,14.184,14.18,14.09,14.084,14.062,"0"
21.409,21.574,21.686,21.222,20.917,20.572,20.749,19.757,19.641,19.064,19.353,19.242,"0"
20.182,21.904,21.684,23.413,20.501,21.425,21.935,20.829,20.877,21.147,22.276,20.194,"0"
19.617,19.75,20.013,19.73,19.686,19.849,19.937,19.82,18.893,20.011,19.913,19.989,"0"
20.214,20.999,20.665,20.636,20.492,20.459,20.504,20.508,20.169,20.963,20.8,20.666,"0"
19.871,20.18,20.171,19.272,19.168,18.735,18.537,18.092,17.984,17.874,17.821,17.796,"0"
19.958,20.063,19.818,19.053,18.937,18.419,18.226,17.64,17.539,17.404,17.32,17.294,"0"
19.542,19.642,20.324,20.279,19.822,19.915,20.175,19.772,18.375,20.284,21.041,21.038,"0"
16.106,16.021,15.716,14.89,14.739,14.187,14.061,13.521,13.436,13.31,13.279,13.243,"0"
19.883,20.779,20.484,20.414,20.154,19.725,19.511,19.053,18.789,18.949,18.941,18.851,"0"
20.965,21.35,22.993,21.857,22.324,20.935,20.635,19.805,19.636,19.336,19.159,19.199,"0"
19.989,20.869,20.346,19.934,19.689,18.664,18.43,17.35,16.964,16.277,15.905,15.783,"0"
18.598,19.115,19.269,19.235,19.174,19.343,19.327,19.297,18.524,19.023,19.039,18.899,"0"
19.706,20.432,19.703,19.625,19.685,19.448,19.415,19.159,19.069,19.056,19.238,19.001,"0"
20.392,20.3,20.532,20.143,20.519,20.052,20.147,20.054,19.745,20.16,20.54,20.369,"0"
20.795,20.113,20.308,20.252,20.478,20.504,20.698,20.279,18.528,20.835,21.686,20.963,"0"
19.485,20.619,20.186,20.557,19.625,20.358,20.121,20.172,19.618,19.741,20.575,20.174,"0"
19.622,20.463,20.958,19.754,19.652,19.647,19.439,19.132,18.882,18.83,18.626,18.71,"1"
19.709,19.821,19.727,19.552,19.357,19.723,19.489,19.747,19.849,19.794,20.143,20.327,"0"
18.587,18.344,18.148,17.733,17.676,17.225,17.043,16.661,16.595,16.43,16.38,16.317,"0"
20.52,22.793,21.541,21.41,21.684,21.217,20.795,20.581,20.639,20.567,20.566,20.594,"0"
24.872,21.14,21.111,21.894,20.308,21.109,20.646,20.985,21.255,21.344,21.319,20.52,"0"
22.324,21.547,23.08,20.863,21.304,21.4,20.894,21.187,21.568,20.83,20.62,20.668,"0"
19.257,19.944,20.665,20.34,20.552,20.054,20.584,20.074,18.303,20.468,20.832,20.955,"0"
18.625,18.37,18.368,17.642,17.552,17.107,16.956,16.503,16.438,16.293,16.227,16.201,"0"
21.463,21.145,21.18,21.48,21.393,21.414,21.083,21.001,20.697,21.043,20.87,20.653,"0"
21.497,20.536,20.72,20.985,20.311,20.762,20.23,20.315,20.582,20.092,19.938,19.689,"0"
20.189,21.805,20.848,20.077,20.09,19.56,19.294,18.703,18.655,18.355,18.195,18.12,"1"
20.512,22.038,22.856,20.071,19.845,18.797,18.691,17.472,17.211,16.777,16.508,16.427,"0"
21.981,23.196,23.322,23.861,21.364,20.865,20.844,20.001,19.871,19.288,19.404,19.285,"0"
17.205,16.887,16.88,16.256,16.211,15.802,15.662,15.331,15.285,15.182,15.176,15.149,"0"
20.872,19.961,19.719,19.779,19.899,19.831,19.591,20.079,20.078,20.085,20.511,20.018,"0"
21.753,21.355,21.561,21.013,21.689,20.429,20.603,19.862,19.703,19.464,19.317,19.31,"0"
21.271,20.544,21.341,20.993,20.658,20.72,20.802,20.494,20.704,20.416,20.445,20.154,"0"
18.092,17.813,17.758,17.386,17.338,17.126,17.001,16.735,16.71,16.61,16.587,16.564,"0"
20.959,22.265,22.035,23.013,22.067,20.293,20.097,18.809,18.458,17.857,17.498,17.406,"0"
18.306,18.05,17.928,17.415,17.371,16.991,16.821,16.488,16.438,16.304,16.292,16.267,"0"
20.131,21.314,21.181,21.11,20.387,20.874,21.048,20.656,20.445,19.836,19.779,19.906,"0"
18.631,18.488,18.286,17.583,17.523,17.054,16.882,16.43,16.374,16.219,16.19,16.155,"0"
20.032,19.865,20.348,20.432,20.367,20.165,20.232,19.889,18.824,19.991,19.738,19.485,"0"
20.269,21.064,20.406,19.292,19.106,17.978,17.853,16.642,16.36,15.939,15.702,15.625,"0"
23.063,21.21,20.734,21.208,20.825,20.471,19.979,19.666,19.565,19.28,19.309,19.403,"0"
16.383,16.066,15.946,15.473,15.414,15.159,15.031,14.803,14.79,14.703,14.718,14.7,"0"
20.402,21.267,20.425,20.48,20.245,20.592,20.452,20.419,19.846,20.14,19.803,20.075,"0"
23.856,20.981,21.553,21.518,21.803,21.54,22.901,20.619,20.702,21.03,21.092,20.442,"0"
15.57,15.233,15.097,14.631,14.575,14.269,14.111,13.82,13.808,13.69,13.678,13.646,"0"
21.942,24.309,23.679,22.085,22.307,21.801,21.569,20.484,20.311,19.463,19.215,19.229,"0"
21.484,21.146,20.992,20.653,21.482,20.934,20.551,20.975,20.447,21.193,22.149,20.936,"0"
18.999,18.978,18.733,17.659,17.379,16.64,16.537,15.628,15.479,15.25,15.144,15.076,"0"
20.192,21.032,21.2,20.999,20.31,20.446,20.832,20.221,19.908,19.584,19.378,19.552,"0"
20.035,20.381,20.129,20.745,20.167,21.017,20.805,20.327,18.341,21.092,24.305,21.45,"0"
20.385,22.366,22.461,22.735,22.449,23.397,21.175,21.256,20.715,19.688,19.387,19.062,"0"
18.538,18.196,18.006,17.123,16.976,16.42,16.254,15.673,15.561,15.38,15.301,15.265,"0"
17.963,17.958,17.843,17.412,17.197,16.457,16.342,15.279,14.873,14.325,13.997,13.901,"0"
20.326,20.693,21.868,20.903,20.326,20.824,22.577,21.196,20.73,22.11,21.788,21.2,"0"
21.191,21.477,22.355,24.177,22.516,21.331,21.032,20.121,20.065,19.691,19.595,19.483,"0"
21.006,23.244,21.995,21.88,23.03,20.93,21.078,20.479,20.532,20.041,20.068,20.305,"0"
17.581,17.619,17.284,16.459,16.312,15.762,15.588,15.071,15.007,14.86,14.82,14.769,"0"
19.549,19.53,19.385,18.403,18.262,17.55,17.405,16.708,16.586,16.371,16.307,16.246,"0"
22.336,21.683,22.138,21.683,21.617,22.728,21.361,20.76,21.148,20.928,20.306,20.203,"0"
20.828,20.255,20.049,19.06,18.971,18.347,18.175,17.5,17.394,17.19,17.085,17.024,"0"
20.318,19.977,19.404,18.528,18.287,17.232,17.116,15.945,15.623,15.138,14.867,14.777,"0"
19.395,19.339,19.471,18.519,18.499,18.044,17.855,17.477,17.44,17.253,17.211,17.169,"0"
18.425,18.755,19.145,19.115,18.946,19.125,19.336,19.014,17.478,19.398,19.867,19.782,"0"
19.845,19.876,19.913,20.141,19.878,20.373,20.369,19.97,18.461,20.68,20.491,20.743,"0"
18.61,18.557,18.403,17.854,17.81,17.491,17.288,17.007,16.978,16.855,16.831,16.804,"0"
19.602,19.752,19.622,18.472,18.156,17.359,17.287,16.348,16.206,15.931,15.802,15.728,"0"
21.048,20.823,20.586,19.387,19.184,18.291,18.19,17.121,16.956,16.69,16.543,16.496,"0"
20.84,20.396,20.901,21.523,21.312,21.285,21.46,20.619,18.981,21.056,21.612,20.622,"0"
18.742,19.613,19.371,18.715,18.202,17.44,17.294,16.171,15.853,15.358,15.087,14.997,"0"
19.463,19.637,19.628,18.47,18.362,17.612,17.485,16.665,16.565,16.323,16.238,16.174,"0"
19.573,20.685,20.462,20.613,19.741,20.239,20.414,20.257,20.069,20.165,20.273,20.176,"0"
20.18,21.493,20.477,20.156,19.849,19.425,19.23,18.967,18.872,18.776,18.793,18.678,"0"
16.756,16.338,16.119,15.758,15.705,15.502,15.384,15.211,15.229,15.143,15.174,15.162,"0"
18.133,17.943,17.862,17.263,17.253,16.877,16.711,16.404,16.37,16.255,16.263,16.201,"0"
16.808,16.551,16.47,15.943,15.892,15.587,15.429,15.16,15.14,15.041,15.044,15.006,"0"
18.873,18.822,18.603,17.525,17.336,16.672,16.528,15.81,15.704,15.513,15.435,15.387,"0"
18.353,18.097,17.997,17.289,17.238,16.799,16.61,16.2,16.149,16.004,15.939,15.911,"0"
23.34,20.855,20.432,20.204,20.188,18.536,18.299,17.161,16.627,15.674,15.177,15.008,"0"
17.702,17.584,17.372,16.618,16.531,16.011,15.818,15.386,15.334,15.197,15.167,15.119,"0"
16.781,16.56,16.419,15.754,15.686,15.282,15.121,14.771,14.73,14.619,14.625,14.588,"0"
20.685,20.399,20.339,19.605,19.641,19.135,18.913,18.57,18.44,18.351,18.386,18.277,"0"
20.662,22.884,21.85,20.379,20.697,20.113,20.022,19.539,19.501,19.415,19.414,19.212,"0"
20.429,21.811,21.801,22.196,20.749,20.751,20.802,20.533,20.577,20.426,20.311,20.331,"0"
13.882,13.596,13.462,12.984,12.919,12.692,12.484,12.483,12.2,12.183,12.115,12.201,"0"
20.715,21.534,23.29,21.19,21.654,21.313,20.745,20.946,21.263,20.868,21.029,21.669,"0"
18.813,18.623,18.283,17.146,16.87,16.049,15.993,15.02,14.869,14.646,14.534,14.476,"0"
20.827,22.367,21.335,22.505,23.914,21.947,22.391,20.625,20.557,20.249,20.116,20.122,"0"
21.213,22.702,21.903,20.428,21.01,20.299,20.077,19.614,19.339,19.234,19.191,19.042,"1"
20.583,20.744,20.844,20.774,21.078,20.626,20.745,20.694,20.612,20.978,21.526,20.991,"0"
20.784,20.926,20.489,20.048,19.804,19.413,19.425,18.682,18.584,18.344,18.245,18.168,"1"
21.992,21.284,21.171,21.303,21.418,19.875,19.794,18.508,18.096,17.12,16.681,16.527,"0"
17.459,17.349,17.136,16.494,16.395,15.927,15.73,15.35,15.302,15.176,15.167,15.12,"0"
15.857,15.679,15.542,14.907,14.842,14.409,14.237,13.866,13.811,13.685,13.651,13.62,"0"
21.957,21.617,21.063,21.904,21.965,20.786,20.78,19.392,19.094,18.703,18.395,18.315,"0"
19.262,19.262,18.886,18.367,18.379,18.076,17.923,17.633,17.621,17.518,17.54,17.478,"0"
18.655,18.392,18.294,17.538,17.401,16.819,16.63,16.096,16.033,15.864,15.801,15.768,"0"
20.538,23.846,21.718,20.283,20.042,18.843,18.819,17.504,17.2,16.719,16.453,16.359,"0"
19.443,19.942,20.788,20.34,20.769,20.381,20.605,20.101,18.457,20.75,20.981,20.942,"0"
19.659,20.012,20.903,20.407,20.781,20.791,21.744,20.092,18.106,20.984,21.431,20.072,"0"
21.997,20.823,20.699,20.093,19.661,18.968,18.811,17.823,17.619,17.323,17.135,17.043,"0"
20.777,22.001,21.126,19.624,19.618,18.842,18.84,17.699,17.535,17.25,17.095,16.998,"0"
19.097,18.948,18.913,17.659,17.38,16.607,16.552,15.586,15.433,15.194,15.059,15.006,"0"
20.723,20.888,21.598,20.759,23.852,19.809,19.736,19.041,18.878,18.643,18.445,18.447,"0"
16.289,16.071,15.958,15.424,15.364,15.03,14.866,14.596,14.573,14.463,14.479,14.444,"0"
15.309,15.154,14.992,14.298,14.214,13.767,13.6,13.213,13.157,13.034,13.023,12.992,"0"
19.65,19.684,19.552,18.673,18.562,17.929,17.781,17.093,16.979,16.759,16.647,16.605,"0"
19.528,20.13,19.762,19.044,19.022,18.191,18.075,17.328,17.214,16.976,16.846,16.786,"0"
20.293,21.458,21.962,21.06,21.202,21.261,20.712,20.547,20.376,20.467,20.076,20.416,"0"
20.802,23.186,24.465,21.021,22.214,21.732,21.651,20.13,19.936,19.53,19.292,18.918,"0"
21.338,21.582,20.534,19.851,19.847,19.437,19.403,18.753,18.636,18.551,18.411,18.329,"0"
19.464,19.618,20.119,19.768,19.701,19.929,19.69,19.673,18.389,20.05,20.17,20.997,"0"
19.633,19.474,19.366,19.143,19.06,19.019,18.876,18.797,18.628,18.707,18.725,18.713,"0"
18.04,17.965,17.836,17.193,17.128,16.728,16.576,16.234,16.193,16.076,16.068,16.041,"0"
20.82,21.708,22.135,21.606,21.645,21.286,21.434,20.907,19.729,22.375,24.327,21.481,"0"
21.774,21.465,22.695,21.221,21.704,20.9,20.57,19.356,18.885,18.343,17.908,17.875,"0"
16.637,16.368,16.215,15.557,15.468,15.053,14.893,14.501,14.441,14.308,14.286,14.257,"0"
21.187,22.221,22.162,21.346,21.147,20.56,20.093,19.392,19.226,19.016,18.847,18.751,"0"
19.271,18.871,18.551,17.812,17.49,16.49,16.299,15.171,14.838,14.311,14.011,13.921,"0"
21.919,20.411,19.949,19.178,19.257,17.982,17.786,16.597,16.23,15.677,15.356,15.259,"0"
21.23,20.609,20.914,20.438,20.358,20.336,20.41,19.833,20.069,20.159,19.879,19.634,"0"
20.835,21.488,22.717,20.483,20.458,19.815,19.539,19.126,18.995,18.856,18.771,18.743,"0"
20.825,21.168,20.354,20.699,20.439,20.591,20.573,20.595,20.354,20.59,20.886,20.445,"0"
20.379,21.424,20.771,21.198,20.72,21.41,20.999,20.595,21.376,20.425,20.56,20.352,"0"
21.871,24.176,21.291,20.991,21.509,19.894,19.69,18.655,18.408,18.093,17.909,17.801,"0"
23.126,20.179,20.524,20.301,20.437,20.559,20.888,20.675,20.11,20.676,20.939,20.955,"0"
19.205,19.15,18.808,18.032,17.912,17.319,17.181,16.575,16.468,16.315,16.272,16.206,"0"
22.283,20.432,20.379,19.38,19.335,18.605,18.515,17.664,17.568,17.329,17.255,17.193,"0"
21.099,23.805,21.992,22.744,23.003,22.044,22.305,20.84,21.159,20.418,20.078,20.261,"0"
21.427,22.556,20.874,21.024,22.228,20.365,19.911,18.708,18.386,17.859,17.557,17.462,"0"
16.987,16.882,16.565,15.876,15.753,15.272,15.104,14.679,14.625,14.498,14.484,14.446,"0"
20.918,21.494,21.1,20.172,22.925,20.06,19.852,19.185,19.111,18.992,18.759,18.88,"0"
20.283,20.623,21.055,20.638,20.061,19.319,18.866,18.234,18.065,17.491,17.451,17.337,"0"
18.002,17.686,17.625,17.038,17.011,16.629,16.452,16.145,16.105,15.987,15.956,15.942,"0"
19.025,19.189,18.976,18.03,17.841,17.243,17.132,16.407,16.298,16.127,16.047,15.988,"0"
22.127,21.307,22.307,21.242,20.694,20.343,19.939,19.55,19.418,19.151,18.978,19.033,"0"
20.461,20.078,19.838,19.272,19.29,19.18,19.008,18.686,18.636,18.558,18.421,18.417,"0"
21.337,21.574,21.403,21.372,20.873,19.836,19.74,18.53,18.268,17.828,17.533,17.553,"0"
23.543,21.779,22.091,20.969,21.006,20.056,19.693,18.61,18.262,17.447,17.036,16.894,"0"
21.394,20.262,19.963,19.649,19.318,19.098,18.829,18.49,18.435,18.19,18.171,18.142,"0"
20.606,20.443,20.615,20.091,19.959,20.079,20.363,20.012,19.818,19.763,20,19.708,"0"
20.017,20.364,20.254,20.668,19.931,20.198,19.971,20.356,20.153,20.091,19.88,19.756,"0"
20.139,20.064,19.939,19.484,19.489,19.232,19.12,18.938,19.065,18.833,18.78,18.927,"0"
21.231,21.307,20.495,20.414,20.334,19.035,18.696,17.644,17.231,16.468,16.072,15.957,"0"
20.978,22.812,22.146,20.654,20.437,19.268,19.194,18.162,18.009,17.716,17.554,17.508,"0"
21.076,20.677,20.762,21.009,21.944,21.199,21.309,20.988,21.677,21.275,20.926,21.171,"0"
17.537,17.446,17.405,16.544,16.46,15.921,15.752,15.243,15.191,15.003,14.947,14.897,"0"
24.624,21.377,21.608,20.976,20.135,19.563,19.429,18.506,18.311,18.067,17.832,17.789,"0"
21.541,20.679,21.422,20.527,20.092,20.264,19.946,19.569,19.47,19.319,19.359,19.348,"0"
15.92,15.63,15.57,15.057,15.015,14.645,14.483,14.148,14.1,13.971,13.937,13.909,"0"
18.993,18.708,18.739,18.242,18.233,17.888,17.767,17.424,17.419,17.288,17.316,17.253,"0"
18.876,18.573,18.303,17.665,17.64,17.118,16.924,16.472,16.417,16.257,16.187,16.147,"0"
16.739,16.637,16.39,15.628,15.527,14.997,14.835,14.349,14.282,14.15,14.105,14.07,"0"
16.989,16.942,16.664,15.864,15.755,15.209,15.049,14.54,14.451,14.309,14.272,14.229,"0"
20.105,19.556,19.702,19.219,19.262,19.051,18.996,18.763,18.498,18.831,18.82,18.658,"0"
16.867,16.65,16.537,15.867,15.795,15.363,15.188,14.818,14.764,14.645,14.625,14.6,"0"
20.996,23.94,20.89,23.321,22.708,22.284,21.694,20.801,20.351,20.059,19.758,19.644,"0"
22.282,24.019,21.933,21.802,20.256,19.794,19.641,18.308,17.925,17.352,17.001,16.929,"0"
19.125,19.018,18.704,18.015,17.901,17.388,17.189,16.692,16.563,16.412,16.365,16.31,"0"
20.871,20.529,21.949,22.053,21.421,21.067,21.554,20.733,19.467,21.557,20.625,21.73,"0"
21.63,22.774,21.953,20.751,21.582,20.802,21.124,20.517,20.294,20.311,20.305,20.361,"0"
21.333,20.938,21.519,21.129,21.04,21.417,20.975,20.71,20.523,20.339,19.758,20.283,"0"
20.418,23.037,21.323,22.318,20.762,20.761,21.71,20.19,20.065,20.09,19.8,19.602,"0"
18.108,18.048,17.702,16.666,16.381,15.591,15.544,14.575,14.42,14.198,14.094,14.025,"0"
20.976,21.814,21.619,20.495,20.157,19.364,19.221,17.993,17.684,17.337,17.067,17,"0"
15.115,14.844,14.762,14.273,14.229,13.927,13.787,13.53,13.514,13.415,13.425,13.398,"0"
20.737,20.08,19.883,19.35,19.307,18.995,18.771,18.529,18.488,18.368,18.357,18.255,"0"
19.604,19.286,19.142,18.803,18.55,18.316,18.149,17.707,17.616,17.367,17.295,17.255,"0"
21.335,21.701,22.764,21.579,23.307,22.106,21.829,20.75,20.363,19.542,19.005,18.757,"0"
21.293,22.061,23.815,22.054,20.793,22.32,22.093,21.02,20.521,19.971,19.531,19.532,"0"
19.695,19.484,19.148,18.083,17.795,16.971,16.93,15.941,15.781,15.555,15.448,15.371,"0"
18.736,18.919,18.941,18.921,19.009,19.058,19.142,19.44,19.836,19.628,19.752,19.775,"0"
20.246,20.712,21.26,21.186,20.343,19.822,19.934,18.85,18.855,18.456,18.257,18.191,"0"
16.683,16.606,16.406,15.906,15.862,15.506,15.345,15.003,14.958,14.835,14.798,14.747,"0"
18.569,18.503,18.345,17.305,17.125,16.493,16.362,15.665,15.561,15.373,15.3,15.22,"0"
17.16,17.057,16.728,16.107,16.034,15.537,15.361,14.939,14.868,14.771,14.737,14.69,"0"
18.671,18.429,18.304,17.757,17.738,17.244,17.073,16.721,16.634,16.566,16.548,16.509,"0"
17.994,17.73,17.61,17.015,16.981,16.562,16.435,16.064,16.021,15.891,15.835,15.815,"0"
18.851,18.832,18.563,17.968,17.879,17.396,17.223,16.798,16.731,16.612,16.595,16.558,"0"
21.558,21.361,21.027,19.858,19.248,18.633,18.655,17.628,17.484,17.276,17.17,17.08,"0"
21.1,21.062,21.497,22.096,21.446,20.512,20.291,19.308,18.998,18.212,17.842,17.717,"0"
18.562,18.912,18.647,17.883,17.898,17.31,17.145,16.69,16.607,16.45,16.38,16.342,"0"
19.64,19.181,18.568,17.786,17.634,17.107,16.867,16.268,16.181,15.964,15.878,15.84,"0"
16.329,16.092,15.958,15.351,15.265,14.892,14.737,14.343,14.283,14.17,14.144,14.096,"0"
14.209,13.902,13.827,13.275,13.214,12.869,12.716,12.566,12.367,12.287,12.274,12.248,"0"
24,19.699,19.653,19.636,19.144,19.01,18.927,18.553,18.552,18.452,18.326,18.342,"0"
19.495,19.316,19.465,18.754,18.769,18.336,18.179,17.793,17.746,17.583,17.503,17.469,"0"
19.461,19.405,19.106,18.438,18.321,17.826,17.675,17.136,17.071,16.91,16.85,16.797,"0"
20.121,19.964,19.736,19.271,19.329,19.005,18.807,18.502,18.528,18.357,18.334,18.229,"0"
15.473,15.212,15.097,14.428,14.362,13.895,13.698,13.282,13.197,13.046,12.992,12.938,"0"
14.005,13.713,13.586,13.188,13.133,12.913,12.776,12.606,12.565,12.457,12.474,12.433,"0"
17.281,17.061,16.987,16.259,16.224,15.779,15.572,15.179,15.127,14.996,14.958,14.911,"0"
20.198,19.591,19.794,19.156,18.961,18.451,18.322,17.76,17.68,17.566,17.43,17.45,"0"
20.767,21.162,24.451,21.268,20.205,20.961,21.016,20.535,20.81,20.693,20.832,20.568,"0"
14.934,14.746,14.427,13.577,13.374,12.78,12.449,12.21,11.822,11.784,11.526,11.689,"0"
19.835,20.703,20.057,19.205,19.231,17.959,17.749,16.598,16.245,15.666,15.338,15.222,"0"
19.717,20.014,19.997,18.96,18.752,18.13,18.03,17.236,17.141,16.913,16.81,16.726,"0"
18.286,18.059,18.013,17.42,17.357,17.018,16.839,16.539,16.49,16.364,16.332,16.296,"0"
20.193,21.381,23.756,23.098,21.484,21.355,21.63,20.714,20.554,20.44,20.383,20.396,"0"
15.026,15.006,14.684,13.654,13.388,12.668,12.581,12.048,11.599,11.604,11.356,11.53,"0"
21.339,20.843,20.222,19.85,19.915,19.412,19.37,19.011,18.893,18.894,19.103,18.831,"0"
21.867,22.121,21.199,20.388,20.338,19.493,19.588,18.389,18.273,18.013,17.778,17.761,"0"
16.174,16.083,15.922,15.167,15.085,14.577,14.392,13.936,13.861,13.723,13.661,13.624,"0"
18.778,19.05,18.795,17.901,17.752,17.232,17.068,16.518,16.388,16.264,16.203,16.147,"0"
17.365,17.043,16.951,16.432,16.388,16.12,15.971,15.693,15.662,15.569,15.564,15.537,"0"
15.377,15.22,15.109,14.47,14.417,14.023,13.827,13.485,13.463,13.344,13.317,13.278,"0"
19.174,18.74,18.695,18.219,18.197,17.806,17.693,17.355,17.292,17.206,17.196,17.126,"0"
19.692,19.654,19.317,18.663,18.585,18.022,17.814,17.366,17.291,17.175,17.132,17.089,"0"
17.984,17.663,17.556,16.757,16.638,16.014,15.774,15.248,15.137,14.953,14.843,14.796,"0"
20.838,21.53,21.231,21.401,20.874,19.864,19.704,18.525,18.173,17.724,17.387,17.296,"0"
18.715,18.573,18.188,17.31,17.144,16.56,16.428,15.777,15.698,15.529,15.443,15.391,"0"
21.356,21.364,24.234,22.729,22.862,21.26,21.348,20.387,20.397,20.488,20.411,19.936,"0"
15.72,15.519,15.387,14.723,14.669,14.261,14.071,13.714,13.666,13.561,13.537,13.498,"0"
18.117,17.829,17.712,17.292,17.239,16.951,16.807,16.539,16.506,16.415,16.408,16.386,"0"
21.966,21.591,22.408,21.072,21.306,20.515,20.739,19.925,19.834,19.729,19.49,19.768,"0"
21.527,20.726,21.158,20.042,19.794,19.744,19.568,19.357,19.329,19.24,19.233,19.122,"0"
20.655,21.127,21.553,19.48,19.116,18.328,18.375,17.172,16.991,16.726,16.553,16.467,"0"
18.06,18.05,17.852,17.232,17.158,16.722,16.551,16.103,16.024,15.855,15.779,15.725,"0"
21.782,23.221,22.908,23.755,21.264,21.396,21.823,20.163,20.24,19.706,19.439,19.525,"0"
21.001,21.231,22.384,20.899,22.439,20.783,21.346,20.608,20.91,20.525,20.363,20.731,"0"
19.099,19.149,18.987,18.462,18.55,18.069,17.836,17.546,17.461,17.382,17.357,17.286,"0"
16.419,16.257,16.159,15.442,15.398,14.943,14.748,14.34,14.294,14.174,14.14,14.1,"0"
16.789,16.56,16.432,15.794,15.73,15.339,15.168,14.802,14.764,14.646,14.63,14.578,"0"
21.332,21.733,21.598,20.895,20.201,19.299,19.134,17.997,17.566,16.783,16.335,16.206,"0"
16.129,15.873,15.723,15.166,15.062,14.634,14.453,13.99,13.902,13.736,13.644,13.582,"0"
17.667,17.721,17.365,16.298,16.044,15.34,15.275,14.389,14.243,14.07,13.978,13.915,"0"
20.6,20.249,20.715,20.199,19.666,19.042,18.964,17.986,17.849,17.601,17.471,17.427,"0"
20.054,19.893,19.822,18.824,18.735,18.194,18.015,17.446,17.385,17.192,17.08,17.081,"0"
15.62,15.417,15.238,14.577,14.481,14.062,13.887,13.503,13.451,13.348,13.328,13.28,"0"
21.714,22.381,22.509,22.011,21.415,21.121,20.447,19.826,19.201,18.755,18.283,18.155,"0"
19.808,20.427,19.952,19.82,19.544,19.264,19.124,18.918,18.816,18.812,18.775,18.711,"0"
16.433,16.178,16.086,15.584,15.539,15.198,15.024,14.711,14.692,14.569,14.549,14.509,"0"
24.185,20.588,20.294,19,18.743,18.002,17.912,16.927,16.793,16.575,16.436,16.372,"0"
18.772,18.547,18.297,17.138,16.858,16.093,16.014,15.024,14.873,14.621,14.476,14.405,"0"
21.287,22.496,22.351,21.265,20.508,21.003,21.111,20.714,21.052,20.551,20.461,20.477,"0"
22.032,20.058,19.685,18.692,18.421,17.393,17.251,16.038,15.751,15.349,15.096,15.004,"0"
16.147,15.897,15.79,15.136,15.078,14.689,14.521,14.171,14.122,14.026,14.016,13.975,"0"
19.7,19.422,19.235,18.405,18.242,17.75,17.573,16.989,16.924,16.7,16.624,16.576,"0"
21.015,20.226,20.057,19.084,18.888,17.885,17.767,16.581,16.344,16.032,15.826,15.741,"0"
18.573,18.56,18.17,17.208,16.983,16.267,16.145,15.303,15.175,14.986,14.895,14.837,"0"
18,17.73,17.676,17.248,17.169,16.847,16.645,16.31,16.258,16.139,16.108,16.044,"0"
16.908,16.607,16.575,16.043,15.983,15.675,15.522,15.242,15.204,15.11,15.112,15.077,"0"
18.33,18.223,17.936,17.118,17.01,16.493,16.313,15.786,15.705,15.584,15.537,15.492,"0"
21.638,20.909,21.901,21.654,22.237,20.319,20.339,18.965,18.532,17.962,17.629,17.505,"0"
20.152,20.887,19.729,19.979,19.962,19.771,19.442,19.374,19.248,19.198,19.263,19.125,"0"
19.905,21.265,20.457,20.939,20.628,20.388,19.963,19.556,19.411,19.385,19.269,19.338,"0"
14.704,14.543,14.42,13.742,13.658,13.269,13.09,12.815,12.735,12.652,12.659,12.621,"0"
17.583,17.525,17.255,16.378,16.228,15.633,15.501,14.852,14.745,14.575,14.498,14.451,"0"
19.701,19.374,19.395,18.81,18.561,18.264,18.048,17.739,17.703,17.563,17.555,17.491,"0"
19.832,20.376,19.887,19.307,19.167,17.993,17.833,16.66,16.266,15.613,15.243,15.132,"0"
20.717,20.181,19.59,19.506,19.564,19.272,19.087,18.9,18.89,18.74,18.681,18.649,"0"
20.983,21.259,21.645,22.441,22.207,21.277,21.605,20.699,20.669,20.198,19.878,20.115,"0"
20.991,21.775,21.452,20.077,19.695,18.801,18.751,17.426,17.176,16.82,16.578,16.5,"0"
22.764,21.622,22.043,21.075,20.238,19.534,19.477,18.382,18.169,17.879,17.656,17.573,"0"
14.395,14.041,13.968,13.472,13.399,13.14,12.997,12.854,12.749,12.662,12.68,12.646,"0"
20.279,23.929,23.136,21.031,20.153,19.922,19.694,19.108,19.019,18.732,18.684,18.554,"0"
19.218,18.905,18.876,18.17,18.057,17.625,17.412,16.94,16.866,16.687,16.631,16.576,"0"
17.318,17.105,16.959,16.378,16.314,15.937,15.755,15.432,15.382,15.277,15.261,15.226,"0"
20.443,20.142,20.502,19.952,19.787,19.782,19.54,19.295,19.329,19.113,19,19.055,"0"
20.068,19.931,19.887,19.31,19.203,18.621,18.486,17.96,17.886,17.74,17.664,17.617,"0"
21.27,22.591,21.849,22.03,21.945,20.681,20.392,19.799,19.33,18.424,17.902,17.777,"0"
20.505,20.644,20.019,19.109,18.645,18.418,17.918,17.138,17.142,16.463,16.413,16.744,"0"
21.831,20.88,20.962,20.809,20.685,20.257,20.186,19.744,19.726,19.613,19.537,19.607,"0"
16.548,16.382,16.107,15.337,15.206,14.701,14.504,14.026,13.965,13.836,13.8,13.748,"0"
21.706,21.181,19.809,19.758,19.16,18.195,18.064,16.83,16.504,16.02,15.723,15.633,"0"
17.525,17.446,17.218,16.516,16.403,15.949,15.75,15.332,15.274,15.162,15.131,15.085,"0"
20.654,20.872,20.769,20.041,19.636,18.723,18.534,17.313,17.024,16.605,16.348,16.218,"0"
19.524,19.554,19.264,18.352,17.999,17.07,16.953,15.758,15.492,15.148,14.939,14.844,"0"
